ID,MODEL,MAKE,DESCRIPTIO,FLASH,CATEGORY,LOCATION,CLASS,BARCODESKU,UM,LIST,RETAIL,SYSTEM,DEALER,JOBBER,COST,AVG_COST,TEMP_COST,TEMP_DATE,TAXABLE,SPIFF,VENDOR1_ID,VENDOR1_PA,VENDOR2_ID,VENDOR2_PA,ON_HAND,COMMITED,MAX_STOCK,RO_POINT,RO_QUAN,ON_ORDER,EXP_ACCT,SOLD_MONTH,SOLD_YEAR,MTD_AMOUNT,YTD_AMOUNT,SUGG_TYPE,MOUNT_SIZE,DISP_LOC,FEATURES1,FEATURES2,FEATURES3,FEATURES4,FEATURES5,FEATURES6,DEFECTIVE,DEF_MONTH,DEF_YEAR,MEMO,PICTURE,LAST_UPD,HQ_INVC,FORCE_SER,TAX_MISC,ACTIVE_ITM,CELL_ITEM,PAGE_ITEM,VNDR1_NAME,VNDR1_PHON,VNDR2_NAME,VNDR2_PHON,SHOW_ON_MTC,STORE_NUM,LAST_USER,LAST_DATE,LAST_TIME,MANU_SPIFF,MANU_SPIFF_AMOUNT,MANU_SPIFF_ID,MANU_SPIFF_NAME,MANU_SPIFF_TYPE,MANU_SPIFF_INFO1,MANU_SPIFF_INFO2,NONTAXABLE,CHARGE_ADDITIONAL_TAX,ADDITIONAL_TAX,MANU_SPIFF_SALES_AMOUNT,REC_DELETED,GL_SALES,GL_INVENTORY,GL_CostOfSales,MANU_SPIFF_ALT_PROMPT1,MANU_SPIFF_ALT_PROMPT2,DATE_LAST_SOLD,PROMPT_FOR_COST,ONLINE,ITEM_PICTURE
"071935291930186","T13946-01","CENTURY","Trimark Pop Up Lock Clockwise","** WITH GASKET **","HANDLE","","CAP PARTS","","",45,45,45,40,18.74,23.77,21.91,,"",,,"","T13946-01","","T13946-01",0,0,1,1,7,0,"",7,7,266.85,266.85,"","","","","","","","","",,0,0,"","","","",False,,True,,,"Century Distributing Inc.","(866) 222-2258","","",False,"HQ","","9/28/2021","11:47:09 AM",,,"","","",,,,,,,"","","","","","","","",,""
"071938484150156","PA-12878-XX","A.R.E.","Mini T-Lock CW Keyed #(1-10)","","LOCKS","","PARTS","11-01-21","EACH",39.24,39.24,39.24,39.24,29.42,19.62,19.15,,"",,,"1000","PA-12878-XX","","32.90/16.44",1,5,8,2,22,0,"",28,28,863.97,863.97,"","","","","","","","","",,0,0,"","","","Y",False,,True,,,"A.r.e.","(800) 824-9561","","",False,"HQ","","4/18/2022","11:42:24 AM",,,"","","",,,,,,,"","","","","","","","",,""
"071938913280609","72-01151","WESTIN","99-06 GM SB BEDCAPS RIBBED WITH","RIBBED W/ HOLES","TRUCK BED","","RAIL CAP","1/16/07","EACH",79.95,79.95,79.95,70,64.27,46.56,46.56,,"",,,"0401","72-01151","","72-01151",0,,2,,1.5,0,"",0,0,0,0,"","","","","","","","","",,0,0,"","","","Y",False,,True,,,"Keystone Automotive","(800) 521-0401","Meyer Distributing","",False,"HQ","","10/31/2013","2:58:14 PM",,,"","","",,,,,,,"","","","","","","","",,""
"072443355490854","5100","DRAW TITE","Electronic Brake Contrl.2&4 Brake","","TOWING","","ELECTRIC","","",102,102,102,95,60.27,62.79,61.33,,"",,,"0401","5100","","5100",4,3,3,0,-8,0,"",94,94,6063.15,6063.15,"","","","","","","","","",1,0,0,"","","","Y",False,,True,,,"Keystone Automotive","(800) 521-9999","MEYER DISTRIBUTING","(614)231-6535",False,"HQ","","6/23/2022","10:27:17 AM",,,"","","",,,,,,,"","","","","","","","",,""
"073232633100870","PA-11371","A.R.E.","Tilt Window Latch","","PARTS","","PARTS","11-01-21","EACH",8.04,8.04,8.04,8.04,4.02,2.68,1.6,,"",,,"","11371","","11371",0,0,4,2,-1,0,"",0,0,0,0,"","","","","","","","","",,0,0,"","","","Y",False,,True,,,"A.R.E.","(800) 824-9561","","",False,"HQ","","10/30/2021","10:34:38 AM",,,"","","",,,,,,,"","","","","","","","",,""
"073549633690302","20045","HIGHLAND","DOG SAFETY BARRIER LARGE","","INTERIOR","","PET BARIER","6/14/07","",42.95,42.95,40,38,35.88,23.93,39.57,,"",,,"1087","20045","0401","20045",0,,2,3,-1,0,"",1,1,42.95,42.95,"","","","","","","","","",,0,0,"6 per carton","","","Y",False,,True,,,"Highland Group /cequent","(800) 782-8983","Keystone Automotive","(800) 521-0401",False,"HQ","","5/20/2022","11:58:52 AM",,,"","","",,,,,,,"","","","","","","","",,""
"074554485100399","SQ55CMB","PERRYCRAFT","Clamp Cross Bars /for Exs.racks","SOLD AS PAIRS ONLY*****","ROOF RACKS","","MISC.","","",219,219,181.6909,166.55,142.7571,99.93,99.93,,"",,,"","SQ55CMB","","",1,0,1,,,,"",0,0,0,0,"","","","","","","","","",,0,0,"","","","Y",False,,True,,,"perrycraft","(800) 777-7081","MEYER DISTRIBUTING","",False,"","","1/7/2013","12:24:17 PM",,,"","","",,,,,,,"","","","","","","","",,""
"076133667130139","RTV 408*","C.R. LAURENCE","White RTV","","SUPPLIES","","MISC","RTV 408","EACH",9.95,9.95,9.95,9.95,9.95,3.35,5.2284,,"",,,"533","RTV 408*","","",,,30,,-192,,"",0,0,0,0,"","","","","","","","","",,0,0,"NO CARRY OUT AVAILABLE","","","Y",False,,True,,,"C.R. LAWRENCE CO. INC.","(800) 421-6144","","",False,"","","9/29/2021","2:42:42 PM",,,"","","",,,,,,,"","","","","","","","",,""
"076739763420327","91113","FX BEDLINER","97-03 FD Flareside 'UR'bedliner","** DURAKON **","TRUCK BED","","LINER","","EACH",219.95,199.95,189.95,179.95,175,134.01,,,"",,,"1002","91113","1095","91113",1,0,,,,,"",0,0,0,0,"","","","","","","","","",,,,"Durakon #026-0929","","","Y",False,,True,,,"VCS","(800) 321-9662","KEYSTONE AUTOMOTIVE","(800)521-0401",False,"HQ","","4/11/2013","5:02:37 PM",,,"","","",,,,,,,"","","","","","","","",,""
"077730694940307","20-14-10","CTW","RING TERMINALS","STEEL","SUPPLIES","","MISC","","EACH",0.4,0.4,0.4,0.4,0.4,0.0716,0.1038,,"",,,"1047","20-14-10","","",1900,,200,,-6198,0,"",0,0,0,0,"","","","","","","","","",,0,0,"","","","Y",False,,True,,,"CTW ELECTRICAL CO., INC.","(800) 428-3004","","",False,"HQ","","11/9/2018","9:16:49 AM",,,"","","",,,,,,,"","","","","","","","",,""
"077730768050827","0301-587","CTW","7/16 Washer","STEEL","HARDWARE","","SHOP","","EACH",0.3,0.3,0.3,0.3,0.3,0.092,0.1306,,"",,,"","0301-587","","0301-587",1500,,200,,-3992,400,"",0,0,0,0,"","","","","","","","","",,0,0,"","","","Y",False,,True,,,"CTW ELECTRICAL CO., INC.","(800) 428-3004","","(   )   -",False,"HQ","","12/22/2021","2:14:09 PM",,,"","","",,,,,,,"","","","","","","","",,""
"077730872520110","4181-030","CTW","5/16 NUT","STEEL","SUPPLIES","","MISC","","",0.15,0.15,0.15,0.15,0.15,0.046,0.0449,,"",,,"1047","4181-030","","",2100,,200,,-3950,0,"",0,0,0,0,"","","","","","","","","",,0,0,"freight 5/01 $15.23","","","Y",False,,True,,,"CTW ELECTRICAL CO., INC.","(800) 428-3004","DAS DISTRIBUTORS","",False,"","","1/11/2019","1:00:27 PM",,,"","","",,,,,,,"","","","","","","","",,""
"077731089090442","9413-081","CTW","TEK SCREW 8 X1/12","SCREWS/SHOP SUPP","SUPPLIES","","MISC","9413-081","EACH",0.05,0.05,0.05,0.05,0.05,0.033,0.092,,"",,,"1047","9413-081","1059","",2300,,500,,-6800,0,"",0,0,0,0,"","","","","","","","","",,0,0,"freight 5/01 $15.23","","","Y",False,,True,,,"CTW ELECTRICAL CO., INC.","(800) 428-3004","DAS DISTRIBUTORS","(800)241-0230",False,"HQ","","3/7/2022","11:45:28 AM",,,"","","",,,,,,,"","","","","","","","",,""
"078161577900803","8000409","YAKIMA","MEDIUM 58' ROUND BARS","","CROSS BAR","SHOP","CROSS BAR","01-01-22","PAIR",125,125,125,125,113.94,76,62.9468,,"",,,"1250","8000409","0401","8000409",3,0,5,1,-22.5,0,"",94.5,94.5,8456.56,8456.56,"","","","","","","","","",,,,"","","","Y",False,,True,,,"Yakima","(888) 925-4621","Keystone Automotive","(800) 521-0401",False,"HQ","","6/3/2022","9:17:39 AM",,,"","","",,,,,,,"","","","","","","","",,""
"078165170470626","8005000-DISC","YAKIMA","LOAD STOP-4PC","","DISCONTINU","","RACK","DISCONTINUED","EACH",69,34.5,34.5,34.5,59.97,40,38.94,,"",,,"1250","8005000","0401","8005000",1,0,0,0,-13,2,"",25,25,1308.87,1308.87,"","","","","","","","","",,,,"","","","Y",False,,True,,,"Yakima","(888) 925-4621","Keystone Automotive","(800) 521-0401",False,"HQ","","7/19/2021","2:09:23 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078742577580272","861016D","OWENS","Diamond 10x16 Flaps","","FLAPS","","MISC.","","",37,37,35,30,23.96,15.98,18.49,,"",,,"","861016D","1119","",1,0,2,1,-3,0,"",0,0,0,0,"","","","","","","","","",,0,0,"","","","Y",False,,True,,,"Meyer Distributing","","Owens Products, Inc.","(800) 726-9367",False,"","","1/7/2013","12:24:16 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078742675400593","861016E","OWENS","Brite Ext 10x16 Flaps","","FLAPS","","MISC.","","",37,37,35,30,23.96,15.98,15.98,,"",,,"","861016E","1119","",0.5,0,2,1,-1.5,,"",0,0,0,0,"","","","","","","","","",,0,0,"","","","Y",False,,True,,,"Meyer Distributing","","Owens Products, Inc.","(800) 726-9367",False,"","","1/7/2013","12:24:16 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078743006820381","OC70102","OWENS","Brite Ext Brds. 102' Pair","","UNIVERSAL","","BOARDS","","",300,300,300,300,211.99,167,269.28,,"",,,"1095","OC70102","","OC70102",0,0,6,3,3,0,"",3,3,1305,1305,"","","","","","","","","",,0,0,"","","","Y",,,True,,,"Keystone Automotive","(800) 521-0401","","",False,"HQ","","6/25/2015","1:31:51 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078744978650245","OC70102B","OWENS","BLK EXT BRDS 102' PAIR","","UNIVERSAL","","BOARDS","","",320,320,320,320,210.01,178,258.37,,"",,,"","OC70102B","1119","OC70102B",0,0,3,1,-2,0,"",0,0,0,0,"","","","","","","","","",,0,0,"","","","Y",,,True,,,"Meyer Distributing","","Owens Products, Inc.","(800) 726-9367",False,"HQ","","1/7/2013","12:24:17 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078831474550185","C7000MF","OWENS","BRITE EXT CUT OUT FLAPS","","UNIVERSAL","","MUDFLAPS","","",30,30,27,25,17.999,12,3.75,,"",,,"","C7000MF","1119","C7000MF",,0,5,2,2,0,"",3,3,80,80,"","","","","","","","","",,0,0,"","","","Y",,,True,,,"Meyer Distributing","","Owens Products, Inc.","(800) 726-9367",False,"HQ","","10/13/2017","5:26:53 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078832200670831","C7000RMF","OWENS","Brite Ext Rect Flaps","","FLAPS","","MUDFLAPS","","",30,30,27,25,17.99,12,12,,"",,,"","C7000RMF","1119","",0,0,2,0,-1.5,,"",0,0,0,0,"","","","","","","","","",,0,0,"","","","Y",False,,True,,,"Meyer Distributing","","Owens Products, Inc.","(800) 726-9367",False,"","","1/7/2013","12:24:16 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078832316230507","C7000MFB","OWENS","Blk Ext Cut Out Flaps","","FLAPS","","MUDFLAPS","","",30,30,27,25,17.99,12,14.25,,"",,,"","C7000MFB","1119","",,0,2,0,5.5,0,"",1,1,44,44,"","","","","","","","","",,0,0,"","","","Y",False,,True,,,"Meyer Distributing","","Owens Products, Inc.","(800) 726-9367",False,"","","10/13/2017","5:13:36 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078832391260747","C7000RMFB","OWENS","Blk Ext Rect Flaps","","FLAPS","","MUDFLAPS","","",30,30,27,25,17.99,12,27.2,,"",,,"","C7000RMFB","1119","C7000RMFB",1,0,1,0,-2,0,"",0,0,0,0,"","","","","","","","","",,0,0,"","","","Y",False,,True,,,"Meyer Distributing","","Owens Products, Inc.","(800) 726-9367",False,"","","8/3/2017","12:27:38 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078832585750657","C8000MF","OWENS","Diamond Cut Out Flaps","","FLAPS","","MUDFLAPS","","",30,30,27,25,17.99,12,-922337203685478,,"",,,"","C8000MF","1119","",0,0,2,1,3,0,"",0,0,0,0,"","","","","","","","","",,0,0,"","","","Y",False,,True,,,"Meyer Distributing","","Owens Products, Inc.","(800) 726-9367",False,"","","1/7/2013","12:24:16 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078832656220494","C8000RMF","OWENS","DIAMOND RECT. FLAPS","","UNIVERSAL","","MUDFLAPS","","",30,30,27,25,17.99,12,-922337203685478,,"",,,"","C8000RMF","1119","C8000RMF",0,0,2,1,-2,,"",0,0,0,0,"","","","","","","","","",,0,0,"","","","Y",,,True,,,"Meyer Distributing","","Owens Products, Inc.","(800) 726-9367",False,"HQ","","1/7/2013","12:24:16 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078832700440767","C5000MF","OWENS","Brite Ext Mini Flaps","","FLAPS","","MUDFLAPS","","",27,27,26,25,16.31,10.88,10.88,,"",,,"","C5000MF","1119","C5000MF",1,0,1,0,-4,,"",0,0,0,0,"","","","","","","","","",,0,0,"","","","Y",False,,True,,,"Meyer Distributing","","Owens Products, Inc.","(800) 726-9367",False,"","","1/7/2013","12:24:16 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078832794850761","C7000EC","OWENS","BRITE EXT END CAPS","","UNIVERSAL","","MISC.","","",14,14,13,12,7.75,5.17,5.17,,"",,,"","C7000EC","1119","C7000EC",-1,0,3,1,1,,"",1,1,0,0,"","","","","","","","","",,0,0,"","","","Y",,,True,,,"Meyer Distributing","","Owens Products, Inc.","(800) 726-9367",False,"HQ","","5/8/2019","4:30:59 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078833075850487","C7000ECB","OWENS","Blk Ext Rubber End Caps","","ALUM BDS.","","MISC.","","",14,14,13,12,7.75,5.17,5.17,,"",,,"","C7000ECB","1119","C7000ECB",,0,2,0,-6,,"",0,0,0,0,"","","","","","","","","",,0,0,"","","","Y",False,,True,,,"Meyer Distributing","","Owens Products, Inc.","(800) 726-9367",False,"","","1/7/2013","12:24:16 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078833121170592","C5000EC","OWENS","Brite Ext Mini End Caps","","ALUM BDS.","","MISC.","","",14,14,13,12,7.75,5.17,5.17,,"",,,"","C5000EC","1119","",1,0,,,-2,,"",0,0,0,0,"","","","","","","","","",,0,0,"","","","Y",False,,True,,,"Meyer Distributing","","Owens Products, Inc.","(800) 726-9367",False,"","","1/7/2013","12:24:16 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078833424460652","C8000EC","OWENS","DIAMOND END CAPS","","UNIVERSAL","","MUDFLAPS","","",14,14,13,12,7.75,5.17,5.3283,,"",,,"1119","C8000EC","","C8000EC",2,0,2,1,-1,0,"",0,0,0,0,"","","","","","","","","",,0,0,"","","","Y",,,True,,,"Owens Products, Inc.","(800) 726-9367","","",False,"HQ","","1/7/2013","12:24:16 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078833917640668","BK06","OWENS","24' Bracket Pair W/bolts","","ALUM BDS.","","MISC.","","",28,28,28,25,13.49,14.25,29.3909,,"",,,"","BK06","1119","BK06",2.5,-19,10,5,-49,0,"",18,18,498.45,498.45,"","","","","","","","","",,0,0,"","","","Y",False,,True,,,"Meyer Distributing","","Owens Products, Inc.","(800) 726-9367",False,"","","12/23/2020","12:33:09 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078835786480365","42-013","OWENS","Grit Tape","priced by foot","STEPS","","ACCESSORY","","",1.35,1.35,1.35,1.35,0.68,0.45,0.45,,"",,,"","42-013","1119","42-013",,,500,50,88,,"",6,6,8.1,8.1,"","","","","","","","","",,0,0,"#42-013roll for a 250ft roll","","","Y",False,,True,,,"Meyer Distributing","","Owens Products, Inc.","(800) 726-9367",False,"HQ","","12/6/2016","5:38:39 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078843338850811","44001","OWENS","60' R V Chest","std labor nc   stock order pricing","TOOL BOX","","RV CHEST","","",324,324,308,304,279,194.4,194.4,,"",,,"1119","44001","","",,,,,1,,"",0,0,0,0,"","","","","","","","","",,0,0,"$20 off ea for carry out","","","Y",False,,True,,,"Owens Products, Inc.","(800) 726-9367","","",False,"HQ","","1/7/2013","12:24:16 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078937527450760","OC7080EB","OWENS","BLK EXT BRDS 80.5' PAIR","","UNIVERSAL","","BOARDS","","",239.95,239.95,230,220,200.45,133.7,144.84,,"",,,"","OC7080EB","1119","OC7080EB",0,0,3,1,0,0,"",0,0,0,0,"","","","","","","","","",0,0,0,"","","","Y",,,True,,,"Meyer Distributing","","Owens Products, Inc.","(800) 726-9367",False,"HQ","","1/7/2013","12:24:17 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078937684100144","OC70130","OWENS","BRITE EXT BRDS 130' PAIR","","UNIVERSAL","","BOARDS","","",314.95,314.95,310,285,261.32,174.3,174.3,,"",,,"","OC70130","1119","OC70130",0,0,2,1,0,,"",0,0,0,0,"","","","","","","","","",,0,0,"","","","Y",,,True,,,"Meyer Distributing","","Owens Products, Inc.","(800) 726-9367",False,"HQ","","1/7/2013","12:24:17 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078937907870672","OC70130B","OWENS","Blk Ext Bds 130' Pair","","ALUM BDS.","","BOARDS","","",339.95,339.95,335,315,284.41,189.7,189.7,,"",,,"","OC70130B","1119","OC70130B",0,0,1,0,-1,,"",0,0,0,0,"","","","","","","","","",,0,0,"","","","Y",False,,True,,,"Meyer Distributing","","Owens Products, Inc.","(800) 726-9367",False,"","","1/7/2013","12:24:17 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078938358040672","OC74130","OWENS","4' BRITE EXT BRDS 130' PAIR","","UNIVERSAL","","BOARDS","","",384.95,384.95,375,350,320.09,213.5,213.5,,"",,,"","OC74130","1119","OC74130",0,0,2,1,,,"",0,0,0,0,"","","","","","","","","",,0,0,"","","","Y",,,True,,,"Meyer Distributing","","Owens Products, Inc.","(800) 726-9367",False,"HQ","","1/7/2013","12:24:17 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078939082450279","OC74102","OWENS","4' BRITE EXT BRDS 102' PAIR","","UNIVERSAL","","BOARDS","","",350,350,335,315,265.52,191.8,306.36,,"",,,"","OC74102","1119","OC74102",1,0,4,2,0,0,"",0,0,0,0,"","","","","","","","","",,0,0,"","","","Y",,,True,,,"Meyer Distributing","","Owens Products, Inc.","(800) 726-9367",False,"HQ","","8/17/2016","12:20:00 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078939247560460","OC74102B","OWENS","4' BLK EXT BRDS 102' PAIR","","UNIVERSAL","","BOARDS","","",344.95,344.95,340,315,232.95,191.76,187,,"",,,"","OC74102B","1119","OC74102B",0,0,4,2,0.5,0,"",0,0,0,0,"","","","","","","","","",,0,0,"","","","Y",,,True,,,"Meyer Distributing","","Owens Products, Inc.","(800) 726-9367",False,"HQ","","1/7/2013","12:24:17 PM",,,"","","",,,,,,,"","","","","","","","",,""
"078940005250670","OC5090B","OWENS","MINI BLK BRDS 90' PAIR","","STEPS","","BOARDS","","",175,175,170,155,145.79,97.24,97.24,,"",,,"","OC5090B","1119","OC5090B",0,0,4,2,0,0,"",0,0,0,0,"","","","","","","","","",,0,0,"","","","Y",,,True,,,"Meyer Distributing","","Owens Products, Inc.","(800) 726-9367",False,"HQ","","3/2/2015","4:32:27 PM",,,"","","",,,,,,,"","","","","","","","",,""
"079551869710569","OC84102-10","OWENS","1/2-10'X4'X102' DIAMOND BOARD","","UNIVERSAL","","BOARDS","","",539.95,539.95,530,500,447.53,298.5,336,,"",,,"","OC84102-10","1119","OC84102-10",0,-1,5,1,0,0,"",1,1,505,505,"","","","","","","","","",,0,0,"","","","Y",,,True,,,"Meyer Distributing","","Owens Products, Inc.","(800) 726-9367",False,"HQ","","6/13/2018","3:55:56 PM",,,"","","",,,,,,,"","","","","","","","",,""
"080534530060653","LB-3157","CTW","LIGHT BULB #3157 - TTLIG","","LIGHTING","","BULBS","","",1.5,1.5,1.5,1.5,1.5,0.88,0.88,,"",,,"1047","LB-3157","1059","",1,,10,,-29,,"",0,0,0,0,"","","","","","","","","",,,,"","","","Y",False,,True,,,"CTW ELECTRICAL CO., INC.","(800) 428-3004","DAS DISTRIBUTORS","(800)241-0230",False,"","","1/11/2013","2:09:46 PM",,,"","","",,,,,,,"","","","","","","","",,""
"080534606850490","LB-1156","CTW","LIGHT BULB #1156 - TTLIG","","LIGHTING","","BULBS","","EACH",1.5,1.5,1.5,1.5,1.5,0.4,0.4,,"",,,"1047","LB-1156","1059","",4,,10,,-5,,"",0,0,0,0,"","","","","","","","","",,,,"","","","Y",False,,True,,,"CTW ELECTRICAL CO., INC.","(800) 428-3004","DAS DISTRIBUTORS","(800)241-0230",False,"","","1/11/2013","2:09:14 PM",,,"","","",,,,,,,"","","","","","","","",,""
